#    L    TT             EE             BB             TE          
   348   0.238414E+04   0.172997E+02   0.379937E-01   0.843485E+02
   349   0.236000E+04   0.174401E+02   0.381189E-01   0.829331E+02
   350   0.233625E+04   0.175772E+02   0.382440E-01   0.814977E+02
   351   0.231305E+04   0.177127E+02   0.383690E-01   0.800351E+02
   352   0.229001E+04   0.178457E+02   0.384938E-01   0.785452E+02
   353   0.226743E+04   0.179756E+02   0.386185E-01   0.770429E+02
   354   0.224518E+04   0.181030E+02   0.387432E-01   0.755059E+02
   355   0.222338E+04   0.182280E+02   0.388678E-01   0.739492E+02
   356   0.220198E+04   0.183506E+02   0.389923E-01   0.723801E+02
   357   0.218096E+04   0.184701E+02   0.391169E-01   0.707839E+02
   358   0.216040E+04   0.185856E+02   0.392414E-01   0.691754E+02
   359   0.214015E+04   0.186988E+02   0.393660E-01   0.675398E+02
   360   0.212036E+04   0.188096E+02   0.394906E-01   0.658882E+02
   361   0.210096E+04   0.189173E+02   0.396154E-01   0.642162E+02
   362   0.208201E+04   0.190219E+02   0.397402E-01   0.625269E+02
   363   0.206345E+04   0.191241E+02   0.398652E-01   0.608223E+02
   364   0.204534E+04   0.192218E+02   0.399904E-01   0.590990E+02
   365   0.202761E+04   0.193171E+02   0.401157E-01   0.573627E+02
   366   0.201034E+04   0.194093E+02   0.402413E-01   0.556106E+02
   367   0.199352E+04   0.194970E+02   0.403671E-01   0.538450E+02
   368   0.197701E+04   0.195823E+02   0.404931E-01   0.520672E+02
   369   0.196109E+04   0.196646E+02   0.406195E-01   0.502752E+02
   370   0.194555E+04   0.197431E+02   0.407461E-01   0.484740E+02
   371   0.193039E+04   0.198179E+02   0.408731E-01   0.466601E+02
   372   0.191568E+04   0.198895E+02   0.410004E-01   0.448379E+02
   373   0.190142E+04   0.199575E+02   0.411281E-01   0.430044E+02
   374   0.188760E+04   0.200224E+02   0.412562E-01   0.411634E+02
   375   0.187416E+04   0.200835E+02   0.413848E-01   0.393149E+02
   376   0.186124E+04   0.201417E+02   0.415138E-01   0.374588E+02
   377   0.184877E+04   0.201953E+02   0.416432E-01   0.355983E+02
   378   0.183666E+04   0.202453E+02   0.417731E-01   0.337303E+02
   379   0.182501E+04   0.202922E+02   0.419036E-01   0.318593E+02
   380   0.181386E+04   0.203362E+02   0.420345E-01   0.299830E+02
   381   0.180309E+04   0.203735E+02   0.421660E-01   0.281046E+02
   382   0.179269E+04   0.204093E+02   0.422981E-01   0.262246E+02
   383   0.178280E+04   0.204407E+02   0.424307E-01   0.243417E+02
   384   0.177343E+04   0.204677E+02   0.425640E-01   0.224596E+02
   385   0.176435E+04   0.204925E+02   0.426978E-01   0.205768E+02
   386   0.175578E+04   0.205128E+02   0.428323E-01   0.186955E+02
   387   0.174758E+04   0.205288E+02   0.429675E-01   0.168158E+02
   388   0.173982E+04   0.205411E+02   0.431033E-01   0.149392E+02
   389   0.173249E+04   0.205475E+02   0.432398E-01   0.130656E+02
   390   0.172560E+04   0.205533E+02   0.433770E-01   0.111973E+02
   391   0.171915E+04   0.205539E+02   0.435149E-01   0.933277E+01
   392   0.171306E+04   0.205524E+02   0.436536E-01   0.747509E+01
   393   0.170748E+04   0.205458E+02   0.437930E-01   0.562348E+01
   394   0.170226E+04   0.205356E+02   0.439332E-01   0.378017E+01
