#    L    TT             EE             TE             PP             TP          
   274   0.466007E+04   0.501686E+01   0.966811E+02   0.207758E+07   0.137057E+04
   275   0.463143E+04   0.515249E+01   0.977836E+02   0.206908E+07   0.135895E+04
   276   0.460259E+04   0.529014E+01   0.988477E+02   0.206064E+07   0.134741E+04
   277   0.457332E+04   0.542980E+01   0.998957E+02   0.205225E+07   0.133595E+04
   278   0.454384E+04   0.557139E+01   0.100906E+03   0.204391E+07   0.132457E+04
   279   0.451409E+04   0.571483E+01   0.101884E+03   0.203563E+07   0.131327E+04
   280   0.448406E+04   0.586013E+01   0.102847E+03   0.202739E+07   0.130204E+04
   281   0.445390E+04   0.600734E+01   0.103772E+03   0.201921E+07   0.129090E+04
   282   0.442332E+04   0.615618E+01   0.104666E+03   0.201108E+07   0.127984E+04
   283   0.439261E+04   0.630686E+01   0.105529E+03   0.200299E+07   0.126885E+04
   284   0.436169E+04   0.645930E+01   0.106362E+03   0.199496E+07   0.125794E+04
   285   0.433058E+04   0.661349E+01   0.107163E+03   0.198697E+07   0.124711E+04
   286   0.429919E+04   0.676930E+01   0.107927E+03   0.197904E+07   0.123635E+04
   287   0.426760E+04   0.692670E+01   0.108667E+03   0.197115E+07   0.122567E+04
   288   0.423589E+04   0.708571E+01   0.109369E+03   0.196330E+07   0.121507E+04
   289   0.420397E+04   0.724624E+01   0.110040E+03   0.195551E+07   0.120454E+04
   290   0.417194E+04   0.740814E+01   0.110680E+03   0.194776E+07   0.119408E+04
   291   0.413977E+04   0.757214E+01   0.111275E+03   0.194006E+07   0.118370E+04
   292   0.410719E+04   0.773714E+01   0.111847E+03   0.193240E+07   0.117340E+04
   293   0.407478E+04   0.790275E+01   0.112373E+03   0.192479E+07   0.116317E+04
   294   0.404210E+04   0.807046E+01   0.112877E+03   0.191722E+07   0.115301E+04
   295   0.400951E+04   0.823879E+01   0.113334E+03   0.190969E+07   0.114293E+04
   296   0.397666E+04   0.840920E+01   0.113761E+03   0.190221E+07   0.113291E+04
   297   0.394376E+04   0.857947E+01   0.114158E+03   0.189477E+07   0.112297E+04
