#    L    TT             EE             BB             TE          
   324   0.137152E-02   0.176209E-04   0.811305E-05   0.529041E-04
   325   0.138848E-02   0.173682E-04   0.803353E-05   0.543459E-04
   326   0.140646E-02   0.171139E-04   0.795535E-05   0.557038E-04
   327   0.142537E-02   0.168582E-04   0.787854E-05   0.569774E-04
   328   0.144512E-02   0.166014E-04   0.780315E-05   0.581668E-04
   329   0.146563E-02   0.163440E-04   0.772924E-05   0.592718E-04
   330   0.148680E-02   0.160863E-04   0.765683E-05   0.602922E-04
   331   0.150854E-02   0.158287E-04   0.758599E-05   0.612279E-04
   332   0.153076E-02   0.155714E-04   0.751675E-05   0.620788E-04
   333   0.155338E-02   0.153150E-04   0.744916E-05   0.628447E-04
   334   0.157630E-02   0.150596E-04   0.738327E-05   0.635255E-04
   335   0.159943E-02   0.148057E-04   0.731911E-05   0.641210E-04
   336   0.162269E-02   0.145537E-04   0.725674E-05   0.646312E-04
   337   0.164598E-02   0.143038E-04   0.719621E-05   0.650558E-04
   338   0.166922E-02   0.140564E-04   0.713754E-05   0.653948E-04
   339   0.169231E-02   0.138120E-04   0.708080E-05   0.656480E-04
   340   0.171516E-02   0.135708E-04   0.702602E-05   0.658152E-04
   341   0.173769E-02   0.133332E-04   0.697326E-05   0.658964E-04
   342   0.175980E-02   0.130996E-04   0.692255E-05   0.658913E-04
   343   0.178141E-02   0.128702E-04   0.687394E-05   0.657999E-04
   344   0.180243E-02   0.126456E-04   0.682748E-05   0.656221E-04
   345   0.182276E-02   0.124260E-04   0.678321E-05   0.653576E-04
   346   0.184232E-02   0.122117E-04   0.674117E-05   0.650063E-04
   347   0.186101E-02   0.120032E-04   0.670142E-05   0.645682E-04
   348   0.187875E-02   0.118008E-04   0.666400E-05   0.640430E-04
   349   0.189544E-02   0.116048E-04   0.662895E-05   0.634306E-04
   350   0.191100E-02   0.114156E-04   0.659632E-05   0.627310E-04
   351   0.192536E-02   0.112335E-04   0.656613E-05   0.619444E-04
   352   0.193852E-02   0.110584E-04   0.653833E-05   0.610739E-04
   353   0.195049E-02   0.108904E-04   0.651284E-05   0.601229E-04
   354   0.196130E-02   0.107292E-04   0.648960E-05   0.590947E-04
   355   0.197096E-02   0.105748E-04   0.646853E-05   0.579929E-04
   356   0.197951E-02   0.104270E-04   0.644955E-05   0.568209E-04
   357   0.198695E-02   0.102859E-04   0.643260E-05   0.555821E-04
   358   0.199331E-02   0.101513E-04   0.641760E-05   0.542801E-04
   359   0.199860E-02   0.100231E-04   0.640447E-05   0.529182E-04
   360   0.200286E-02   0.990127E-05   0.639315E-05   0.514999E-04
   361   0.200609E-02   0.978564E-05   0.638355E-05   0.500286E-04
   362   0.200832E-02   0.967615E-05   0.637562E-05   0.485079E-04
   363   0.200957E-02   0.957272E-05   0.636926E-05   0.469411E-04
   364   0.200986E-02   0.947524E-05   0.636442E-05   0.453317E-04
   365   0.200921E-02   0.938362E-05   0.636101E-05   0.436831E-04
   366   0.200763E-02   0.929778E-05   0.635896E-05   0.419989E-04
   367   0.200515E-02   0.921761E-05   0.635820E-05   0.402824E-04
   368   0.200180E-02   0.914304E-05   0.635866E-05   0.385371E-04
   369   0.199758E-02   0.907396E-05   0.636026E-05   0.367664E-04
   370   0.199252E-02   0.901029E-05   0.636294E-05   0.349738E-04
   371   0.198663E-02   0.895193E-05   0.636660E-05   0.331628E-04
   372   0.197995E-02   0.889879E-05   0.637119E-05   0.313368E-04
   373   0.197249E-02   0.885077E-05   0.637663E-05   0.294992E-04
   374   0.196426E-02   0.880780E-05   0.638285E-05   0.276535E-04
   375   0.195530E-02   0.876976E-05   0.638977E-05   0.258032E-04
   376   0.194561E-02   0.873658E-05   0.639732E-05   0.239516E-04
   377   0.193523E-02   0.870816E-05   0.640542E-05   0.221024E-04
   378   0.192416E-02   0.868441E-05   0.641401E-05   0.202588E-04
   379   0.191244E-02   0.866523E-05   0.642301E-05   0.184243E-04
   380   0.190007E-02   0.865053E-05   0.643234E-05   0.166024E-04
   381   0.188708E-02   0.864023E-05   0.644194E-05   0.147966E-04
   382   0.187350E-02   0.863422E-05   0.645172E-05   0.130103E-04
   383   0.185933E-02   0.863242E-05   0.646163E-05   0.112469E-04
   384   0.184460E-02   0.863474E-05   0.647157E-05   0.950990E-05
   385   0.182934E-02   0.864108E-05   0.648149E-05   0.780274E-05
   386   0.181355E-02   0.865135E-05   0.649130E-05   0.612888E-05
   387   0.179727E-02   0.866546E-05   0.650093E-05   0.449176E-05
   388   0.178051E-02   0.868331E-05   0.651031E-05   0.289483E-05
   389   0.176328E-02   0.870482E-05   0.651937E-05   0.134155E-05
   390   0.174562E-02   0.872990E-05   0.652803E-05  -0.164651E-06
   391   0.172754E-02   0.875844E-05   0.653623E-05  -0.162031E-05
