#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   152   0.432009E+04  -0.453520E+02   0.220736E-03  -0.453520E+02   0.107129E+01  -0.946113E-06   0.220736E-03  -0.946113E-06   0.807967E-07
   153   0.435133E+04  -0.453177E+02   0.218777E-03  -0.453177E+02   0.106489E+01  -0.939080E-06   0.218777E-03  -0.939080E-06   0.803437E-07
   154   0.438233E+04  -0.452593E+02   0.216842E-03  -0.452593E+02   0.105813E+01  -0.931938E-06   0.216842E-03  -0.931938E-06   0.798943E-07
   155   0.441312E+04  -0.451760E+02   0.214930E-03  -0.451760E+02   0.105098E+01  -0.924678E-06   0.214930E-03  -0.924678E-06   0.794484E-07
   156   0.444352E+04  -0.450679E+02   0.213041E-03  -0.450679E+02   0.104346E+01  -0.917292E-06   0.213041E-03  -0.917292E-06   0.790061E-07
   157   0.447385E+04  -0.449335E+02   0.211174E-03  -0.449335E+02   0.103557E+01  -0.909771E-06   0.211174E-03  -0.909771E-06   0.785672E-07
   158   0.450387E+04  -0.447736E+02   0.209329E-03  -0.447736E+02   0.102738E+01  -0.902107E-06   0.209329E-03  -0.902107E-06   0.781318E-07
   159   0.453358E+04  -0.445880E+02   0.207506E-03  -0.445880E+02   0.101874E+01  -0.894292E-06   0.207506E-03  -0.894292E-06   0.776998E-07
   160   0.456306E+04  -0.443753E+02   0.205704E-03  -0.443753E+02   0.100980E+01  -0.886319E-06   0.205704E-03  -0.886319E-06   0.772712E-07
   161   0.459231E+04  -0.441370E+02   0.203924E-03  -0.441370E+02   0.100065E+01  -0.878177E-06   0.203924E-03  -0.878177E-06   0.768460E-07
   162   0.462124E+04  -0.438731E+02   0.202164E-03  -0.438731E+02   0.991119E+00  -0.869861E-06   0.202164E-03  -0.869861E-06   0.764242E-07
   163   0.465002E+04  -0.435821E+02   0.200424E-03  -0.435821E+02   0.981300E+00  -0.861360E-06   0.200424E-03  -0.861360E-06   0.760057E-07
   164   0.467833E+04  -0.432654E+02   0.198704E-03  -0.432654E+02   0.971263E+00  -0.852668E-06   0.198704E-03  -0.852668E-06   0.755905E-07
   165   0.470647E+04  -0.429209E+02   0.197004E-03  -0.429209E+02   0.960934E+00  -0.843775E-06   0.197004E-03  -0.843775E-06   0.751787E-07
